"ID","Malt","PPG","PotentialSG","Manufacturer","Moisture","ExtractLKG","ExtractPercent","ColourEBCIMin","ColourEBCIMax","ColourEBCEMin","ColourEBCEMax","ColourLovibondMin","ColourLovibondMax","Nitrogen","Protien","RatioSNRMin","RatioSNRMax","RatioKIMin","RatioKIMax","RatioSTMin","RatioSTMax","IDP","EDPWK","ADPLinter","Max","Characteristics","Usage"
"14","Chocolate","35","1.035","1","4","200","0","800","1000","900","1100","450","550","0","0","0","0","0","0","0","0","0","0","0","10","Typically used in the production of Porters and sweet Stouts chocolate malt is made in a similar fashion to amber malt, though higher final temperatures are used, and is intermediate with black malt. Its flavour, which derives from pyrazines and pyrroles (heterocyclic aromatic organic compounds), is sharp and can be acrid, so care is needed in its use. Chocolate malts contain little or no enzymatic power.","Porters and sweet Stouts"
"15","Black","35","1.035","1","4","200","0","1100","1400","1200","1500","550","650","0","0","0","0","0","0","0","0","0","0","0","10","","Porters and sweet Stouts"
"16","Roasted Barley","35","1.035","1","0","0","0","1100","1400","1200","1500","550","650","0","0","0","0","0","0","0","0","0","0","0","10","",""
"17","Light Caramalt","35","1.035","1","8","200","0","10","30","15","35","13","17","0","0","0","0","0","0","0","0","0","0","0","20","Having a distinctive toffee flavour which becomes more intense as colour is increased, Caramalts are used to give colour and flavour to pale Lager beers. However, they should be used with care to avoid making the beer too dark or giving it too cloying a flavour. At the higher end of the colour range burnt or roasted malt flavours may begin to appear. They also change the oxidation - reduction state of a beer, and can therefore improve the stability of a beer by preventing the formation of oxidised (cardboard) flavours.",""
"18","Medium Caramalt","35","1.035","1","8","200","0","50","70","55","75","30","37","0","0","0","0","0","0","0","0","0","0","0","0","Having a distinctive toffee flavour which becomes more intense as colour is increased, Caramalts are used to give colour and flavour to pale Lager beers. However, they should be used with care to avoid making the beer too dark or giving it too cloying a flavour. At the higher end of the colour range burnt or roasted malt flavours may begin to appear. They also change the oxidation - reduction state of a beer, and can therefore improve the stability of a beer by preventing the formation of oxidised (cardboard) flavours.",""
"19","Dark Caramalt","35","1.035","1","0","0","0","70","100","80","110","50","60","0","0","0","0","0","0","0","0","0","0","0","0","Having a distinctive toffee flavour which becomes more intense as colour is increased, Caramalts are used to give colour and flavour to pale Lager beers. However, they should be used with care to avoid making the beer too dark or giving it too cloying a flavour. At the higher end of the colour range burnt or roasted malt flavours may begin to appear. They also change the oxidation - reduction state of a beer, and can therefore improve the stability of a beer by preventing the formation of oxidised (cardboard) flavours.",""
"20","Light Crystal","35","1.035","1","8","200","0","90","110","100","120","60","70","0","0","0","0","0","0","0","0","0","0","0","0","Traditionally in the UK, Crystal malt of colour 70 -80 ?ASBC has been used at about 5% of the grist to give the characteristic colour and flavour of UK Bitters and Pale Ales. Adjustment of the amount and/or colour of the Crystal malt may brew some very distinctive beers, but this may require some careful experimentation. Crystal malts have been used in the brewing of Lager beers, but, again, considerable care is required to ensure that whilst a distinctive flavour is achieved, the crystal flavour and colour does not become too dominant. In all beers they can help prevent the formation of oxidation flavours. Crystal malts have little or no enzymatic power.","UK Bitters and Pale Ales"
"21","Medium Crystal","35","1.035","1","8","200","0","130","150","140","160","70","80","0","0","0","0","0","0","0","0","0","0","0","0","Traditionally in the UK, Crystal malt of colour 70 -80 ?ASBC has been used at about 5% of the grist to give the characteristic colour and flavour of UK Bitters and Pale Ales. Adjustment of the amount and/or colour of the Crystal malt may brew some very distinctive beers, but this may require some careful experimentation. Crystal malts have been used in the brewing of Lager beers, but, again, considerable care is required to ensure that whilst a distinctive flavour is achieved, the crystal flavour and colour does not become too dominant. In all beers they can help prevent the formation of oxidation flavours. Crystal malts have little or no enzymatic power.","UK Bitters and Pale Ales"
"22","Dark Crystal","35","1.035","1","4","200","0","170","210","185","230","95","115","0","0","0","0","0","0","0","0","0","0","0","0","Traditionally in the UK, Crystal malt of colour 70 -80 ?ASBC has been used at about 5% of the grist to give the characteristic colour and flavour of UK Bitters and Pale Ales. Adjustment of the amount and/or colour of the Crystal malt may brew some very distinctive beers, but this may require some careful experimentation. Crystal malts have been used in the brewing of Lager beers, but, again, considerable care is required to ensure that whilst a distinctive flavour is achieved, the crystal flavour and colour does not become too dominant. In all beers they can help prevent the formation of oxidation flavours. Crystal malts have little or no enzymatic power.","UK Bitters and Pale Ales"
"23","Very Dark Crystal","35","1.035","1","0","0","0","250","320","270","350","153","165","0","0","0","0","0","0","0","0","0","0","0","0","Traditionally in the UK, Crystal malt of colour 70 -80 ?ASBC has been used at about 5% of the grist to give the characteristic colour and flavour of UK Bitters and Pale Ales. Adjustment of the amount and/or colour of the Crystal malt may brew some very distinctive beers, but this may require some careful experimentation. Crystal malts have been used in the brewing of Lager beers, but, again, considerable care is required to ensure that whilst a distinctive flavour is achieved, the crystal flavour and colour does not become too dominant. In all beers they can help prevent the formation of oxidation flavours. Crystal malts have little or no enzymatic power.","lager and golden ale"
"24","Peated","34","1.034","1","5","308","81.5","3","4","3.5","4.5","1.5","2","1.65","10.3","36","42","38","44","38","44","60","215","65","0","",""
"25","Finest Maris Otter","38","1.038","4","3.5","308","81.5","5","7","5.5","7.5","2.5","3.5","1.6","10","38","43","43","48","43","48","45","140","50","100","The consistently reliable Maris Otter? continues to provide the qualities expected by the brewer","Ales"
"26","Extra Pale Maris Otter","38","1.038","4","4.5","308","81.5","2.5","3.5","3","4","1.5","2","1.6","10","38","43","43","48","43","48","50","150","55","100","Lower colour version of Maris Otter? Ale malt suitable for lager and golden ale brewing","lagers and other pale beers such as golden ales"
"27","Best Ale","36","1.036","4","3.5","310","82","5","7","5.5","7.5","2.5","3.5","1.65","10.3","38","43","43","48","43","48","45","140","50","100","Higher color and balanced sweet, malty flavor","ales, porters and stouts"
"28","Extra Pale","38","1.038","4","4.5","310","82","2.5","3.5","3","4","1.5","2","1.65","10.3","38","43","43","48","43","48","50","145","55","100","Lower colour version of Best Ale Malt suitable for lager and golden ale brewing",""
"29","Europils","38","1.038","4","4.5","308","81.5","2.5","3.5","3","4","1.5","2","1.75","11","36","40","43","48","43","48","60","200","66","100","Traditional European-style malt suitable for all pilsner types","pilsner type brews"
"30","Clear Choice Ale","38","1.038","4","4","308","81.5","4","6","4.5","6.5","2","3","1.75","10.9","37","46","42","52","45","52","45","140","50","100","improved haze stability and enhanced flavor stability. Additionally, the absence of polyphenols increases malty, sweet notes and reduces astringent and bitter notes in the finished beer.",""
"31","Clear Choice Extra Pale","38","1.038","4","4.5","308.5","81.5","2.5","4","3","4.5","1.5","2","1.75","10.9","37","46","42","52","45","52","50","150","55","100","improved haze stability and enhanced flavor stability. Additionally, the absence of polyphenols increases malty, sweet notes and reduces astringent and bitter notes in the finished beer.",""
"32","Organic Ale","38","1.038","4","4","308.6","81.5","4.5","7","5","7.5","2.5","4","1.6","10","37","44","42","50","42","50","0","0","0","100","Malts produced from organic barley with full supply-chain traceability guaranteed",""
"33","Organic Extra Pale","38","1.038","4","4.5","308.5","81.5","2.5","4","3","4.5","1.5","2","1.6","10","37","44","42","50","42","50","0","0","0","100","Malts produced from organic barley with full supply-chain traceability guaranteed",""
"34","Vienna","35","1.035","4","4.5","302","80","5","9","6","10","3","4","1.65","10.3","0","0","0","0","0","0","0","0","0","0","Its origins lie in Vienna or amber lagers, but Vienna Malt will give golden hues to other beers and will
increase body and mouthfeel. It retains sufficient enzyme activity to be used as base malt in all-malt grists.The subtle malty flavours associated with Vienna Malt provide toffee and caramel notes.",""
"35","Munich Light","37","1.037","4","4.5","299","79","15","25","17","","7","","1.8","11.3","0","0","0","0","0","0","0","0","0","20","contrast with the caramel-like flavors associated with crystal malts and the golden to reddish hues of the color is popular in some beer styles.",""
"36","Munich Dark","37","1.037","4","4.5","299","79","40","50","","60","","22","1.8","11.3","0","0","0","0","0","0","0","0","0","20","contrast with the caramel-like flavors associated with crystal malts and the golden to reddish hues of the color is popular in some beer styles.",""
"37","CaraGold","34","1.034","4","0","0","0","12","16","13","17","5","8","0","0","0","0","0","0","0","0","0","0","0","0","A slightly higher coloured malt than the regular Cara, Cara Gold will add depth to a beer and bring sweetness and golden/amber colour, good for lower ABV, paler beers.",""
"38","Caramalt","35","1.035","4","0","0","0","23","32","25","35","10","15","0","0","0","0","0","0","0","0","0","0","0","25","Very useful for imparting body and a slight malty sweetness to blonde beers due to its low colour and longer chain, dextrin sugars.",""
"39","Light Crystal (Crystal 150)","35","1.035","4","0","0","0","145","165","160","180","60","70","0","0","0","0","0","0","0","0","0","0","0","20","A great malt for adding sweet, caramel flavour to pale/amber ales. IPA?s and bitters. The lower colour is due to the shorter kilning time and this maintains the sweetness with getting too intense with the caramel notes. It will bring deep red colour to the beers depending on how much is used.",""
"40","Medium Crystal (Crystal 240)","35","1.035","4","0","0","0","225","265","250","290","95","110","0","0","0","0","0","0","0","0","0","0","0","10","Roasted for longer to develop a more toffee like aroma and flavour, good for red/brown/ruby bitters and ales where it will add flavour complexity and punch through bitterness more than the light crystal.",""
"41","Dark Crystal (Crystal 400)","35","1.035","4","0","0","0","380","435","420","480","155","185","0","0","0","0","0","0","0","0","0","0","0","10","The most intensely flavoured and coloured of our crystal malts, we move into a different arena on aroma with roasted/sweet coffee appearing and a slight burnt caramel note, good for full flavoured dark brown and ruby ales, stouts and porters",""
"42","Amber","37","1.037","4","0","0","0","55","75","60","80","23","35","0","0","0","0","0","0","0","0","0","0","0","15","Amber is the lowest coloured of the roasted malts and imparts a toasty, biscuity maltiness to bitter, ales, milds, porters and stouts, good for depth of flavour without too much intensity. It has no diastatic power and should only be used up to 15% of the grist.",""
"43","Brown","35","1.035","4","0","0","0","110","135","120","150","45","60","0","0","0","0","0","0","0","0","0","0","0","10","It has a strong, dark-toasted grain flavor, slightly nutty with a hint of bitter chocolate. Brown malt imparts dark amber to light brown hues. It is used in many older English ale styles, and is an essential ingredient for traditional porters.",""
"44","Chocolate","35","1.035","4","0","0","0","820","1000","900","1100","340","420","0","0","0","0","0","0","0","0","0","0","0","10","More intense in colour and flavour with distinct roasted coffee aroma and flavour along with bittersweet dark chocolate undertones. Perfect for adding depth to brown ales and bitters and a must in strong milds, stouts and porters.",""
"45","Black","35","1.035","4","0","0","0","1100","1300","1250","1450","450","550","0","0","0","0","0","0","0","0","0","0","0","10","Smoother than roasted barley giving full roasted flavour along with a slightly tart acridity, in small amounts this malt will give a reddish hue without becoming too intense. Use at higher levels for robust to give an edge to robust porters.",""
"46","Roasted Barley","35","1.035","4","0","0","0","1100","1300","1250","1450","450","550","0","0","0","0","0","0","0","0","0","0","0","10","As the name suggests, this grain isn?t malted. Roasted Barley imparts a dry, intensely roasted, astringent flavour and is used in guiness style stouts and strong porter. At levels below 1.5% of the grist it can be used to adjust colour and give a dry clean finish to a beer",""
"47","Dextrin","33","1.033","4","7","300","79.5","2","3","2.5","3.5","1.5","2","1.8","11.25","26","35","30","40","30","40","0","0","0","10","Dextrin malt is germinated in the process to create longer chain sugars that survive the mashing process to give higher attenuation limits and thus fuller tasting beers. It can provide extra body and improve the head retention of your brew.",""
"48","Wheat","38","1.038","4","6.5","320","84.5","2.5","4.5","3","5","1.5","2.5","2.2","13.8","38","46","44","51","44","51","130","400","143","55","wheat malt can be used as the base malt at around 55% inclusion for wheat beers and, when mixed with barley malt, wheat malt can improve head retention, improve mouthfeel and introduce flavor changes in other beer types. Enhance body and head retention; it brings a subtle smoothness to beers when used up to 15%. Beyond this percentage, it will start to create hazy Weissen/ Wit type beers.","Wheat beers and other beers"
"49","Toasted Wheat","25","1.025","4","6","325","85.8","20","30","22.3","33.5","9","13","2.1","13.1","38","46","43.1","51.7","43.1","51.7","60","215","67","50","Toasted Wheat Malt can add bready and nutty flavours to different types of beer. It will improve head retention and is used at up to 10% inclusion for Ales and 50% for wheat beers.","Wheat beers and ales"
"50","Rye","35","1.035","4","4.5","327.9","86.5","22","32","24","35","9.5","14","1.6","10","45","55","45","55","45","55","45","180","62","25","when mixed with barley malt, rye malt can improve head retention, improve mouthfeel and introduce flavor changes of a toffee/caramel note at lower inclusion rates and a spicy after-palate at higher inclusion rates. Most notably, rye malt will also impart a reddish hue to beers.",""
"51","Naked Oat","33","1.033","4","3.5","285","75","1.5","2.5","2","3","1.2","1.6","2.1","13","17","22","20","25","20","25","15","50","17","0","Oat malt gives smoothness and body to darker beers and is particularly good in stouts.",""
"52","Torrefied Wheat","35","1.035","4","10","310","81.9","2.5","4.5","2.8","5","1.5","2.3","0","0","0","0","0","0","0","0","0","0","0","0","Promotes head retention and adds body.",""
"53","Flaked Torrefied Barley","36","1.036","4","10","308","81.9","2.5","4.5","2.8","5","1.5","2.3","0","0","0","0","0","0","0","0","0","0","0","0","Promotes head retention and adds body.",""
"54","Flaked Torrefied Maize","34","1.034","4","8.5","328","86.5","1.3","1.3","1.5","1.5","1","1","0","0","0","0","0","0","0","0","0","0","0","0","Promotes head retention and adds body.",""
"55","Flaked Torrefied Rice","32","1.032","4","8.5","305","80.6","1.3","1.3","1.5","1.5","1","1","0","0","0","0","0","0","0","0","0","0","0","0","Lightens wort colour and adds a unique sweetness to the wort which is similar to cornflakes.",""
"56","Flaked Torrefied Oats","37","1.037","4","11","292","77.2","2.5","4.5","2.8","5","1.5","2.3","0","0","0","0","0","0","0","0","0","0","0","0","Lightens wort colour and reduces protein levels, imparts a characteristic dryness to finished beers.",""
"57","Maris Otter","36","1.036","7","0","308","0","3.4","5.2","4.5","7","1.7","2.4","1.6","0","0","0","37","42","0","0","0","156","0","100","authentic, full malty taste compared to standard pale ale malts.","Any warm fermented beers"
"58","Maris Otter Extra Pale","36","1.036","7","0","308","0","2.2","3.4","0","0","1.3","1.7","0","0","0","0","0","0","0","0","","0","0","100","","	IPA, bitter, golden ales, light beers"
"59","Maris Otter / Propino","36","1.036","7","0","308","0","3.4","5.2","0","0","1.7","2.4","0","0","0","0","0","0","0","0","0","0","0","100","","Any warm fermented beers"
"60","Propino Pale (Spring)","36","1.036","7","3.5","310","81.5","3.4","5.2","4.5","7","1.7","2.4","1.6","0","0","0","37","42","0","0","0","156","0","100","","Any warm fermented beers"
"61","Propino Extra Pale","36","1.036","7","0","310","0","2.2","3.4","0","0","1.3","1.7","0","0","0","0","0","0","0","0","0","0","0","100","","	IPA, bitter, golden ales, light beers"
"62","Venture Pale","36","1.036","7","0","310","0","3.4","5.2","0","0","1.7","2.4","0","0","0","0","0","0","0","0","0","0","0","100","Pleasant and characteristic malt odour with a malty and slightly sweet taste.","Any warm fermented beers"
"63","Lager","37","1.037","7","0","308","0","2.8","3.4","0","0","1.5","1.7","0","0","0","0","0","0","0","0","0","0","0","100","","Any cold fermented beers"
"64","Pilsner","36","1.036","7","0","308","0","2.5","2.4","0","0","1.4","1.7","0","0","0","0","0","0","0","0","0","0","0","100","Well-modified 2-row English malt, no need for stepped mash. Use for making lighter colored beers with a more delicate malty and sweet flavor. Produces fuller body than many Pilsner-style malts","Any cold fermented beers"
"65","Munich","37","1.037","7","0","300","0","12","20","0","0","5","8","0","0","0","0","0","0","0","0","0","0","0","70","","Any beer"
"66","Vienna","35","1.035","7","0","308","0","7","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"67","Super Pale","36","1.036","7","0","310","0","2","3","0","0","1.2","1.6","0","0","0","0","0","0","0","0","0","0","0","100","","	IPA, bitter, golden ales, light beers"
"68","Mild","37","1.037","7","0","308","0","5","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"69","Caramalt","35","1.035","7","0","290","0","22","43","0","0","8.8","16.7","0","0","0","0","0","0","0","0","0","0","0","20","","IPA, bitter, mild, stout, porter, golden"
"70","Crystal 110","33","1.033","7","0","285","0","95","125","0","0","36.3","47.6","0","0","0","0","0","0","0","0","0","0","0","15","","	IPA, bitter, mild, stout, porter"
"71","Crystal 150","33","1.033","7","0","285","0","130","170","0","0","49.5","64.6","0","0","0","0","0","0","0","0","0","0","0","15","","	IPA, bitter, mild, stout, porter"
"72","Crystal 240","33","1.033","7","0","285","0","210","270","0","0","79.9","102.3","0","0","0","0","0","0","0","0","0","0","0","15","","	IPA, bitter, mild, stout, porter"
"73","Crystal 400","33","1.033","7","0","277","0","360","440","0","0","136.3","166.5","0","0","0","0","0","0","0","0","0","0","0","15","","	IPA, bitter, mild, stout, porter"
"74","Dark Crystal Rye","33","1.033","7","0","277","0","200","300","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","",""
"75","Amber","35","1.035","7","0","270","0","40","75","0","0","15.5","28.8","0","0","0","0","0","0","0","0","0","0","0","15","","Mild, bitter, ales, IPA, brown ale, Porter, Stout"
"76","Brown","33","1.033","7","0","250","0","140","160","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","",""
"77","Light Chocolate","32","1.032","7","0","250","0","400","600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","","Mild, bitter, ales, IPA, brown ale, Porter, Stout"
"78","Chocolate","35","1.035","7","0","250","0","900","1100","0","0","340","414","0","0","0","0","0","0","0","0","0","0","0","10","","Mild, bitter, ales, IPA, brown ale, Porter, Stout"
"79","Black","33","1.033","7","0","230","0","1200","1400","0","0","453","528","0","0","0","0","0","0","0","0","0","0","0","8","","Mild, bitter, ales, IPA, brown ale, Porter, Stout"
"80","Roast Barley","25","1.025","7","0","230","0","1050","1450","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","","Mild, bitter, ales, IPA, brown ale, Porter, Stout"
"81","Wheat","37","1.037","7","0","315","0","5","5","0","0","2.3","2.3","0","0","0","0","0","0","0","0","0","0","0","100","","Lager, Ales, Wheat Beers"
"82","Torrified Wheat","35","1.035","7","0","280","0","2","6","0","0","1.2","2.7","0","0","0","0","0","0","0","0","0","0","0","10","","All beers"
"83","Malted Wheat Flakes","36","1.036","7","0","0","0","25","55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","",""
"84","Malted Rye Flakes","36","1.036","7","0","0","0","10","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","",""
"85","Malted Oats","33","1.033","7","0","230","0","3","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","",""
"86","Maris Otter","36","1.036","10","4.5","311","0","3.75","5.75","4.5","7","0","0","1.6","0","0","0","36","42","0","0","0","0","0","100","A flavoursome, reliable malt. Easily processed and very consistent. Highly popular with craft brewers","English Ale"
"87","Maris Otter Low Colour","36","1.036","10","5","311","0","3","3","3.6","3.6","0","0","1.6","0","0","0","36","42.5","0","0","0","0","0","100","A lighter colour version of Maris Otter","Light coloured ales and Lagers"
"88","Pale Ale","36","1.036","10","4.5","313","0","3.27","5.75","4.5","7","0","0","1.6","0","0","0","36","42.5","0","0","0","0","0","100","A well modified malt giving flavoursome, well rounded wort","English Ale"
"89","Pale Ale Low Colour","36","1.036","10","5","313","0","3","3","3.6","3.6","0","0","1.6","0","0","0","36","42.5","0","0","0","0","0","100","A lighter colour version of the Pale Ale malt","Light coloured ales and Lagers"
"90","Lager","36","1.036","10","4.5","311","0","3","3","3.6","3.6","0","0","1.6","0","0","0","36","42.5","0","0","0","0","0","100","A light golden, fully modified malt suitable for infusion or decoction mashes","Lagers"
"91","Wheat","36","1.036","10","6","314","0","4.2","4.2","5","5","0","0","2.2","0","0","0","20","30","0","0","0","0","0","80","3-5% Improves head retention and mouth feel at lower levels#Provides the flavor and mouthfeel of wheat beers","Ales Wheat Beer/Weissbiers"
"92","Rye","36","1.036","10","6","319","0","5.75","5.75","7","7","0","0","1.5","0","0","0","40","50","0","0","0","0","0","50","5-50% Adds toffee/caramel and low level spicy notes#Adds spicy notes typical of a rye beer and a reddish hue","Ales Rye beer"
"93","Mild Ale","35","1.035","10","4.5","305","0","8","12","10","14","0","0","0","0","0","0","0","0","0","0","0","0","0","100","Less fermentable than Pale Ale malt. Sweet/nutty notes with a light golden/copper colour","Mild and Brown Ales"
"94","Munich","35","1.035","10","4.5","305","0","12","17","15","20","0","0","0","0","0","0","0","0","0","0","0","0","0","100","Less fermentable than Pale Ale malt. Sweet/nutty notes with a golden/copper colour","Dark Lagers"
"95","Vienna","35","1.035","10","4.5","305","0","8","12","10","14","0","0","0","0","0","0","0","0","0","0","0","0","0","100","Less fermentable than Pale Ale malt. Sweet/nutty notes with a light golden/copper colour","Mild and Brown Ales"
"96","Flaked Torrefied Barley","34","1.034","10","10","283","0","2.1","3.8","2.5","4.5","0","0","0","0","0","0","0","0","0","0","0","0","0","10","Pre-cooked/non-malted cereal, can be added directly to a mash. Gives grainy notes and improves head retention","Adjunct"
"97","Flaked Maize","36","1.036","10","8.5","307","0","1.1","1.1","1.3","1.3","0","0","0","0","0","0","0","0","0","0","0","0","0","10","Pre-cooked/non-malted cereal, can be added directly to a mash. Neutral flavour in ales, gives subtle corn notes in lighter styles","Adjunct"
"98","Flaked Malted Oats","32","1.032","10","11","266","0","2.4","4.6","2.8","5.5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","Pre-cooked/malted cereal, can be added directly to a mash. Adds toasted/biscuity notes, Improves mouth-feel and head retention","Adjunct"
"99","Torrefied Wheat","34","1.034","10","10","285","0","2.1","3.8","2.5","4.5","0","0","0","0","0","0","0","0","0","0","0","0","0","10","Pre-cooked/non-malted cereal, can be added directly to a mash. Adds toasted/biscuity notes, Improves head retention","Adjunct"
"100","CaraGold","32","1.032","10","7.5","290","0","8","14","10","17","0","0","0","0","0","0","0","0","0","0","0","0","0","10","Very low colour malt. Adds malty, fruity and toffee notes. Increases body/fullness and gives a softer, rounder mouthfeel","Adjunct for Lager"
"101","Caramalt","32","1.032","10","7.5","290","0","20","35","23","42","0","0","0","0","0","0","0","0","0","0","0","0","0","10","Sweeter, giving more caramel notes than standard crystal but giving no roasted/nutty flavours. Greatly increases head retention/body","Adjunct for Lager and light coloured ales"
"102","Crystal 100","32","1.032","10","5","280","0","90","110","105","130","0","0","0","0","0","0","0","0","0","0","0","0","0","10","Gives sweet and malty notes ans a light golden hue. Improves head retention and beer stability.","Colour and Flavour Adjunct"
"103","Crystal 140","32","1.032","10","4.5","280","0","140","160","165","190","0","0","0","0","0","0","0","0","0","0","0","0","0","10","Gives caramel and toffee notes with a golden hue. Improves head retention and beer stability","Colour and Flavour Adjunct"
"104","Crystal 200","32","1.032","10","4.5","274","0","180","220","215","265","0","0","0","0","0","0","0","0","0","0","0","0","0","10","Adds burnt toffee notes and a deep golden/ruby red colour. Improves head retention and beer stability.","Colour and Flavour Adjunct"
"105","Crystal 400","32","1.032","10","3.5","275","0","380","440","450","525","0","0","0","0","0","0","0","0","0","0","0","0","0","10","Adds burnt toffee notes and a deep golden/ruby red colour. Improves head retention and beer stability.","Colour and Flavour Adjunct"
"106","Crystal Rye","32","1.032","10","5","282","0","120","180","140","220","0","0","0","0","0","0","0","0","0","0","0","0","0","10","Rye flavour with sweet, malty and dry liquorice/toffee notes","Adjunct"
"107","Amber","33","1.033","10","3","280","0","40","70","45","85","0","0","0","0","0","0","0","0","0","0","0","0","0","5","Lightly roasted giving less harsh notes when compared to higher roasted products. Dry baked biscuity flavour",""
"108","Brown","33","1.033","10","3.5","280","0","90","120","105","145","0","0","0","0","0","0","0","0","0","0","0","0","0","5","Dryer and less sweet than crystal malt of the same colour. Has mild coffee/biscuity notes. Low fermentability","Brown ale and Sweet Stout"
"109","Chocolate Low Colour","33","1.033","10","3.5","285","0","350","550","415","665","0","0","0","0","0","0","0","0","0","0","0","0","0","5","Moderate coffee notes with mild burnt toast notes. Similar to chocolate malt but less harsh","Dark beers and Stout"
"110","Chocolate","33","1.033","10","3.5","275","0","900","1100","1070","1310","0","0","0","0","0","0","0","0","0","0","0","0","0","5","Strong coffee notes with mild burnt toast notes. Similar to black malt but less harsh and bitter","Dark beers and Stout"
"111","Black","32","1.032","10","3.5","270","0","1200","1500","1400","1800","0","0","0","0","0","0","0","0","0","0","0","0","0","5","Astringent, smoky, harsh with burnt coffee/burnt toast notes. Less acrid than roasted barley","Porters and Stout"
"112","Roasted Barley","32","1.032","10","3.5","270","0","1200","1500","1400","1800","0","0","0","0","0","0","0","0","0","0","0","0","0","10","Sharp, astringent and burnt. Gives paler head than black or chocolate malt.","Stout"
"113","Crystal Wheat","32","1.032","10","5","270","0","100","150","120","180","0","0","0","0","0","0","0","0","0","0","0","0","0","10","Mild notes of caramel, almonds, more ""biscuity"" than Crystal malt.","Adjunct"
