ID,Malt,DefaultMalt,PPG,EBC,Weyerman (DE),Castle/Chateau (BE),Muntons (UK),Crisp (UK),Briess (US),Fawcett (UK),Baird (UK),Dingermans (BE),Warminster (UK),Swaen,Simpson (UK)
62,Warminster Smoked,0,36,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,Weyermann Smoked,0,37,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,Wheat,81,37,0,Pale Wheat,NULL,Wheat,Wheat,Victory,NULL,NULL,NULL,NULL,NULL,NULL
65,Crystal 90,90,32,250,NULL,Café Light,NULL,NULL,Crystal 90,NULL,NULL,NULL,NULL,NULL,Crystal Dark
66,Pale CaraMalt,128,33,15,NULL,NULL,NULL,NULL,NULL,Pale CaraMalt,NULL,NULL,NULL,NULL,NULL
67,Pale Crystal,285,32,95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,Dark Crystal,72,33,250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
69,Extra Pale Spring Blend,61,36,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70,Pale Ale Tipple,88,36,4.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
71,Cara,69,35,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,Dextrin,302,31,1.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,Medium Crystal,287,32,167,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
74,Lactose,0,46,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
75,DRC,290,33,280,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
76,Dextrose,0,46,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
77,Cane Sugar,0,46,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78,Dark Muscavado,0,46,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
79,Double Roasted Crystal,290,33,280,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80,Smoked Warminster,0,36,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81,Popcorn,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
82,Cascara Coffee,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
83,Extra Dark Crystal,289,32,450,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84,Honey,0,30,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
